country,state,city,station,pollutant_id,pollutant_avg,KMeans,Agglo,DBSCAN,Anomaly
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",PM2.5,197.0,1,0,-1,1
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",CO,13.0,2,1,-1,1
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",OZONE,9.0,0,3,-1,1
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",PM2.5,150.0,3,0,-1,1
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",NH3,16.0,0,3,-1,1
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",CO,41.0,0,3,-1,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",PM10,93.0,4,2,-1,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",NH3,2.0,2,1,-1,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",SO2,2.0,2,1,-1,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",OZONE,8.0,0,3,-1,1
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",OZONE,8.0,0,4,-1,1
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",CO,43.0,0,3,-1,1
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",NH3,8.0,2,1,-1,1
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",NO2,35.0,0,3,-1,1
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",NH3,3.0,2,1,-1,1
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",NH3,6.0,2,1,-1,1
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",CO,89.0,4,2,-1,1
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",OZONE,7.0,2,1,-1,1
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB",NO2,82.0,0,2,-1,1
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",SO2,4.0,2,1,-1,1
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",PM2.5,114.0,3,4,-1,1
