country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",14-03-2025 10:00,13.94,75.555917,OZONE,7,78,20
India,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",14-03-2025 10:00,13.1276288,78.1570122,PM2.5,NA,NA,NA
India,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",14-03-2025 10:00,13.1276288,78.1570122,NO2,NA,NA,NA
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",14-03-2025 10:00,12.415911,75.73505,PM2.5,10,39,24
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",14-03-2025 10:00,13.377516,77.099072,CO,56,58,57
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",14-03-2025 10:00,10.073232,76.302765,PM10,41,55,47
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",14-03-2025 10:00,11.875,75.3732,CO,37,44,39
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",14-03-2025 10:00,26.203442,78.193251,NH3,2,3,2
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",14-03-2025 10:00,26.203442,78.193251,CO,6,103,53
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",14-03-2025 10:00,26.259242,78.216432,PM2.5,53,342,157
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",14-03-2025 10:00,26.259242,78.216432,CO,34,102,86
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",14-03-2025 10:00,26.259242,78.216432,OZONE,20,48,44
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",14-03-2025 10:00,23.210494,77.425409,CO,10,24,14
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",14-03-2025 10:00,23.210494,77.425409,OZONE,39,67,57
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",14-03-2025 10:00,23.233584,77.400574,NO2,20,57,30
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",14-03-2025 10:00,23.233584,77.400574,OZONE,68,162,130
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",14-03-2025 10:00,22.9682591,76.064118,PM2.5,29,314,100
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",14-03-2025 10:00,22.9682591,76.064118,NO2,72,111,88
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",14-03-2025 10:00,22.9682591,76.064118,CO,13,79,51
India,Madhya Pradesh,Indore,"Vijay Nagar Scheme-78, Indore - Glenmark",14-03-2025 10:00,22.76726,75.8871,PM10,37,42,40
India,Madhya Pradesh,Indore,"Vijay Nagar Scheme-78, Indore - Glenmark",14-03-2025 10:00,22.76726,75.8871,NO2,27,28,27
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",14-03-2025 10:00,26.200388,78.147714,OZONE,17,193,53
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",14-03-2025 10:00,22.431,75.5213,NO2,87,151,111
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",14-03-2025 10:00,10.5324,76.2159,PM10,NA,NA,NA
India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",14-03-2025 10:00,23.264759,77.381568,CO,3,51,11
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",14-03-2025 10:00,22.7084,75.8815,CO,16,21,20
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",14-03-2025 10:00,23.331731,75.045981,NO2,31,31,31
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",14-03-2025 10:00,23.838586,78.759431,NH3,1,1,1
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",14-03-2025 10:00,23.838586,78.759431,OZONE,5,75,34
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",14-03-2025 10:00,23.8640158,78.80289321,PM2.5,8,353,99
